,0
age,0.004668517042178534
blood_pressure,0.018704167287932935
red_blood_cells,0.004399959823985849
pus_cell,0.018087891628541287
pus_cell_clumps,0.0006295493971703503
bacteria,0.0
blood_glucose_random,0.03470905598923925
blood_urea,0.026069879780507878
serum_creatinine,0.15943655847428018
sodium,0.014107953198752177
potassium,0.001973420498026845
hemoglobin,0.18194563963044438
packed_cell_volume,0.17214535770829356
white_blood_cell_count,0.0035526238970544134
red_blood_cell_count,0.13129998836041687
hypertension,0.06449697645212839
diabetes_mellitus,0.06932876349578003
coronary_artery_disease,6.409199433452742e-07
appetite,0.0003673403825436685
pedal_edema,0.011792797379084553
anemia,0.002457181321739903
specific_gravity_1.01,0.03302739706651987
specific_gravity_1.015,0.021458577132340954
specific_gravity_1.02,0.0017660215560494315
specific_gravity_1.025,0.014024402770757213
albumin_1.0,2.0135752810703758e-05
albumin_2.0,0.006226266826190595
albumin_3.0,0.0029382731336050926
albumin_4.0,0.0
albumin_5.0,0.0
sugar_1.0,0.0
sugar_2.0,0.0
sugar_3.0,0.0
sugar_4.0,0.00036466309368171304
sugar_5.0,0.0
